release_date,production_budget,worldwide_gross,studio,foreign_gross,year,budget_merge,domestic_gross,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,_merge
2013-09-20,46000000.0,113402302.0,WB,61100000.0,2013.0,both,61002302.0,Prisoners,tt1392214,153,8.1,575224.0,45.0,45.0,both
2016-11-04,165000000.0,676404566.0,BV,445100000.0,2016.0,both,232641920.0,Doctor Strange,tt1211837,115,7.5,573351.0,47.0,47.0,both
2008-12-25,160000000.0,329631958.0,,202122632.0,2008,left_only,127509326.0,The Curious Case of Benjamin Button,tt0421715,166,7.8,572337.0,45.0,45.0,both
2009-12-25,90000000.0,498438212.0,,289409533.0,2009,left_only,209028679.0,Sherlock Holmes,tt0988045,128,7.6,571493.0,36.0,36.0,both
2009-05-08,140000000.0,386839614.0,,129109595.0,2009,left_only,257730019.0,Star Trek,tt0796366,127,7.9,570128.0,55.0,55.0,both
2016-11-11,47000000.0,203127894.0,Par.,102800000.0,2016.0,both,100546139.0,Arrival,tt2543164,116,7.9,569933.0,45.0,45.0,both
2012-11-21,120000000.0,620912003.0,Fox,484000000.0,2012.0,both,124987022.0,Life of Pi,tt0454876,127,7.9,567132.0,46.0,46.0,both
2006-11-17,102000000.0,594420283.0,,427055283.0,2006,left_only,167365000.0,Casino Royale,tt0381061,144,8.0,567060.0,44.0,44.0,both
1967-04-28,12000000.0,41744718.0,,19000000.0,1967,left_only,22744718.0,Casino Royale,tt0381061,144,8.0,567060.0,44.0,44.0,both
2015-06-12,215000000.0,1648854864.0,Uni.,1019.4,2015.0,both,652270625.0,Jurassic World,tt0369610,124,7.0,566377.0,58.0,58.0,both
1993-02-12,14600000.0,70906973.0,,0.0,1993,left_only,70906973.0,Groundhog Day,tt0107048,101,8.0,566322.0,48.0,48.0,both
1995-12-27,29000000.0,168841459.0,,111700000.0,1995,left_only,57141459.0,12 Monkeys,tt0114746,129,8.0,565508.0,,,both
2014-10-17,18000000.0,103215094.0,,60874496.0,2014,left_only,42340598.0,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,119,7.7,561942.0,47.0,47.0,both
2012-10-12,44500000.0,227140757.0,WB,96300000.0,2012.0,both,136025503.0,Argo,tt1024648,120,7.7,560458.0,39.0,39.0,both
2012-06-29,50000000.0,556016627.0,Uni.,330600000.0,2012.0,both,218665740.0,Ted,tt1637725,106,6.9,559732.0,36.0,36.0,both
2000-07-14,75000000.0,296872367.0,,139572650.0,2000,left_only,157299717.0,X-Men,tt0120903,104,7.4,559312.0,,,both
2012-06-08,125000000.0,402448265.0,Fox,276900000.0,2012.0,both,126477084.0,Prometheus,tt1446714,124,7.0,558062.0,44.0,44.0,both
2017-11-03,180000000.0,846980024.0,BV,538900000.0,2017.0,both,315058289.0,Thor: Ragnarok,tt3501632,130,7.9,557813.0,46.0,46.0,both
2013-11-22,150000000.0,1272469910.0,BV,875700000.0,2013.0,both,400738009.0,Frozen,tt2294629,102,7.4,557375.0,59.0,59.0,both
2007-09-21,20000000.0,56822960.0,,38468604.0,2007,left_only,18354356.0,Into the Wild,tt0758758,148,8.1,556617.0,35.0,35.0,both
2009-01-30,25000000.0,226941585.0,,81940596.0,2009,left_only,145000989.0,Taken,tt0936501,90,7.8,555895.0,40.0,40.0,both
2011-09-16,15000000.0,81357930.0,,46297241.0,2011,left_only,35060689.0,Drive,tt0780504,100,7.8,554706.0,37.0,37.0,both
2015-07-17,130000000.0,518858449.0,BV,339100000.0,2015.0,both,180202163.0,Ant-Man,tt0478970,117,7.3,549245.0,44.0,44.0,both
2012-07-03,220000000.0,757890267.0,Sony,495900000.0,2012.0,both,262030663.0,The Amazing Spider-Man,tt0948470,136,6.9,547738.0,56.0,56.0,both
,,,BV,473900000.0,2017.0,right_only,,Guardians of the Galaxy Vol. 2,tt3896198,136,7.6,544525.0,,,both
2016-12-16,200000000.0,1049102856.0,BV,523900000.0,2016.0,both,532177324.0,Rogue One: A Star Wars Story,tt3748528,133,7.8,534623.0,52.0,52.0,both
2002-11-15,100000000.0,879225135.0,,616991754.0,2002,left_only,262233381.0,Harry Potter and the Chamber of Secrets,tt0295297,161,7.4,531400.0,52.0,52.0,both
2017-06-02,150000000.0,821133378.0,WB,409300000.0,2017.0,both,412563408.0,Wonder Woman,tt0451279,141,7.4,531360.0,44.0,44.0,both
2004-06-30,200000000.0,795110670.0,,421586185.0,2004,left_only,373524485.0,Spider-Man 2,tt0316654,127,7.3,529433.0,44.0,44.0,both
2004-06-04,130000000.0,796907323.0,,547149597.0,2004,left_only,249757726.0,Harry Potter and the Prisoner of Azkaban,tt0304141,142,7.9,528654.0,52.0,52.0,both
2005-11-18,150000000.0,897099794.0,,606898042.0,2005,left_only,290201752.0,Harry Potter and the Goblet of Fire,tt0330373,157,7.7,526260.0,53.0,53.0,both
2012-09-28,30000000.0,170466405.0,TriS,110000000.0,2012.0,both,66486205.0,Looper,tt1276104,113,7.4,523533.0,37.0,37.0,both
2017-07-21,150000000.0,499837368.0,WB,337200000.0,2017.0,both,190068280.0,Dunkirk,tt5013056,106,7.9,523321.0,42.0,42.0,both
1999-03-05,1350000.0,28356188.0,,24458619.0,1999,left_only,3897569.0,"Lock, Stock and Two Smoking Barrels",tt0120735,107,8.2,521135.0,,,both
1997-09-19,35000000.0,126204977.0,,61600000.0,1997,left_only,64604977.0,L.A. Confidential,tt0119488,138,8.2,518484.0,,,both
2014-01-10,23000000.0,48163815.0,,22595564.0,2014,left_only,25568251.0,Her,tt1798709,126,8.0,518458.0,48.0,48.0,both
1996-07-02,75000000.0,817400878.0,,511231623.0,1996,left_only,306169255.0,Independence Day,tt0116629,145,7.0,516936.0,,,both
2011-03-18,27000000.0,155564919.0,Rela.,82600000.0,2011.0,both,79249455.0,Limitless,tt1219289,105,7.4,516699.0,42.0,42.0,both
2010-04-16,28000000.0,97531134.0,LGF,48100000.0,2010.0,both,48071303.0,Kick-Ass,tt1250777,117,7.6,515845.0,38.0,38.0,both
2014-10-24,30000000.0,76235001.0,LG/S,45700000.0,2014.0,both,43037835.0,John Wick,tt2911666,101,7.4,514727.0,38.0,38.0,both
1999-11-19,90000000.0,511358276.0,,265506097.0,1999,left_only,245852179.0,Toy Story 2,tt0120363,92,7.9,511346.0,,,both
2007-08-17,17500000.0,169955142.0,,48491916.0,2007,left_only,121463226.0,Superbad,tt0829482,113,7.6,508496.0,38.0,38.0,both
2009-10-02,23600000.0,102236596.0,,26646310.0,2009,left_only,75590286.0,Zombieland,tt1156398,88,7.6,507465.0,37.0,37.0,both
2000-12-22,85000000.0,427230516.0,,193598374.0,2000,left_only,233632142.0,Cast Away,tt0162222,143,7.8,506510.0,47.0,47.0,both
1997-07-01,90000000.0,587790539.0,,337100000.0,1997,left_only,250690539.0,Men in Black,tt0119654,98,7.3,504096.0,,,both
2004-06-25,30000000.0,116025023.0,,35023236.0,2004,left_only,81001787.0,The Notebook,tt0332280,123,7.8,503988.0,44.0,44.0,both
2003-05-15,150000000.0,738576929.0,,457023240.0,2003,left_only,281553689.0,The Matrix Reloaded,tt0234215,138,7.2,503256.0,39.0,39.0,both
2001-12-07,85000000.0,450728529.0,,267311379.0,2001,left_only,183417150.0,Ocean's Eleven,tt0240772,116,7.7,501036.0,50.0,50.0,both
2012-03-16,42000000.0,202812429.0,Sony,63100000.0,2012.0,both,138447667.0,21 Jump Street,tt1232829,109,7.2,499701.0,36.0,36.0,both
2004-09-24,5000000.0,30332385.0,,16789511.0,2004,left_only,13542874.0,Shaun of the Dead,tt0365748,99,7.9,499330.0,35.0,35.0,both
2007-12-26,25000000.0,77208711.0,,36986197.0,2007,left_only,40222514.0,There Will Be Blood,tt0469494,158,8.2,498444.0,43.0,43.0,both
2005-03-25,3000000.0,6239723.0,,5532332.0,2005,left_only,707391.0,Oldboy,tt0364569,120,8.4,496818.0,48.0,48.0,both
2002-06-14,60000000.0,214357371.0,,92888411.0,2002,left_only,121468960.0,The Bourne Identity,tt0258463,119,7.9,496257.0,40.0,40.0,both
2002-06-21,102000000.0,358824714.0,,226800000.0,2002,left_only,132024714.0,Minority Report,tt0181689,145,7.6,495651.0,41.0,41.0,both
2015-12-25,62000000.0,147864886.0,Wein.,101600000.0,2015.0,both,54117416.0,The Hateful Eight,tt3460252,168,7.8,493923.0,47.0,47.0,both
2007-07-11,150000000.0,943076457.0,,650939197.0,2007,left_only,292137260.0,Harry Potter and the Order of the Phoenix,tt0373889,138,7.5,489901.0,52.0,52.0,both
